id_municipio,id_candidato_bd,genero,raca
2607901,1133623,feminino,parda
2607901,994295,masculino,parda
2607901,1112128,masculino,parda
2607901,194234,masculino,parda
2607901,903974,masculino,parda
2607901,699095,masculino,parda
2607901,1166661,feminino,parda
2607901,1111214,feminino,parda
2607901,409768,feminino,parda
2607901,463080,masculino,parda
2607901,1009513,masculino,parda
2607901,1700602,masculino,parda
2607901,849525,feminino,parda
2607901,569634,masculino,parda
2607901,408007,masculino,parda
2607901,1174592,feminino,parda
2607901,585144,masculino,parda
2607901,1560877,masculino,parda
2609600,1116815,masculino,parda
2609600,1339902,masculino,parda
2609600,1165494,masculino,parda
2609600,140944,masculino,parda
2609600,815823,masculino,parda
2609600,1527015,feminino,parda
2609600,1324987,feminino,parda
2609600,1218871,masculino,parda
2610707,597954,masculino,parda
2610707,1646146,feminino,parda
2610707,734719,masculino,parda
2610707,880010,masculino,parda
2610707,908738,masculino,parda
2610707,217976,masculino,parda
2610707,808270,masculino,parda
2610707,1713900,feminino,parda
2610707,403260,feminino,parda
2610707,667656,masculino,parda
2611606,1724891,masculino,parda
2611606,1748909,feminino,parda
2611606,231157,feminino,parda
2611606,1749783,masculino,parda
2611606,1634971,masculino,parda
2611606,1527080,masculino,parda
2611606,308600,feminino,parda
2611606,1660753,feminino,parda
2611606,760728,masculino,parda
2611606,771091,masculino,parda
2611606,604947,masculino,parda
2611606,1096416,masculino,parda
2603454,1249387,masculino,parda
2603454,1171455,masculino,parda
2603454,579997,masculino,parda
2603454,1038381,masculino,parda
2603454,816208,masculino,parda
2603454,32989,feminino,parda
2603454,1394753,feminino,parda
2603454,1796379,feminino,parda
2603454,678258,feminino,parda
2603454,1301157,feminino,parda
2603454,1121896,masculino,parda
2603454,668963,masculino,parda
2603454,1098031,masculino,parda
2603454,391704,masculino,parda
2603454,1060995,feminino,parda
2603454,1121405,masculino,parda
2603454,562016,feminino,parda
2603454,123049,masculino,parda
2603454,1099889,masculino,parda
2600054,1715297,feminino,parda
2600054,818248,feminino,parda
2600054,1123391,feminino,parda
2600054,1785677,feminino,parda
2600054,1528801,masculino,parda
2600054,1004534,masculino,parda
2603926,1158964,feminino,parda
2603926,941977,masculino,parda
2608057,891754,masculino,parda
2608057,988238,masculino,parda
2608057,147289,masculino,parda
2608057,1590135,masculino,parda
2608057,1033617,feminino,parda
2608057,1081259,masculino,parda
2608057,802611,feminino,parda
2608057,917780,feminino,parda
2608057,612482,masculino,parda
2608057,1127563,feminino,parda
2601409,1190923,masculino,parda
2601409,1139905,masculino,parda
2601409,1330153,feminino,parda
2601409,539669,masculino,parda
2601409,1213293,masculino,parda
2601409,908951,masculino,parda
2601409,1384622,feminino,parda
2601409,1641829,feminino,parda
2607950,1300659,masculino,parda
2607950,1384824,masculino,parda
2607950,876656,masculino,parda
2607950,1168022,feminino,parda
2601706,517880,masculino,parda
2601706,959007,masculino,parda
2601706,54337,masculino,parda
2601706,924985,masculino,parda
2602209,1207299,masculino,parda
2602209,1110245,masculino,parda
2602209,122234,masculino,parda
2602209,1009143,masculino,parda
2602605,800491,feminino,parda
2602704,953223,masculino,parda
2602704,1219930,feminino,parda
2602704,1033424,masculino,parda
2602704,981317,masculino,parda
2602704,96333,feminino,parda
2602902,913079,feminino,parda
2602902,1066192,feminino,parda
2602902,973191,masculino,parda
2602902,1115853,masculino,parda
2602902,548634,masculino,parda
2602902,921755,masculino,parda
2602902,1020105,masculino,parda
2602902,916646,feminino,parda
2602902,1337416,masculino,parda
2602902,922180,masculino,parda
2602902,1274196,masculino,parda
2602902,298146,feminino,parda
2602902,1214969,feminino,parda
2602902,1028750,masculino,parda
2603207,184804,masculino,parda
2603207,1735394,masculino,parda
2603207,158562,masculino,parda
2603207,1234466,masculino,parda
2603207,104576,masculino,parda
2603207,918298,feminino,parda
2603207,507823,masculino,parda
2603207,994407,masculino,parda
2603207,1605936,masculino,parda
2603207,1032843,feminino,parda
2603207,1225643,masculino,parda
2603207,544585,feminino,parda
2603207,1414811,feminino,parda
2603603,1113950,masculino,parda
2603603,1065554,masculino,parda
2603603,667380,feminino,parda
2603603,1215474,feminino,parda
2603603,1115860,masculino,parda
2603603,1057287,masculino,parda
2603801,569995,masculino,parda
2603801,585514,masculino,parda
2604106,14134,masculino,parda
2604106,350619,masculino,parda
2604106,686522,masculino,parda
2604106,1081784,feminino,parda
2604106,732797,masculino,parda
2604106,780252,masculino,parda
2604106,1274751,masculino,parda
2604106,559959,masculino,parda
2604106,1430884,masculino,parda
2604106,1745054,masculino,parda
2604106,308141,feminino,parda
2604106,643223,feminino,parda
2604106,1378454,masculino,parda
2604106,918508,masculino,parda
2604502,43183,feminino,parda
2604700,1010102,feminino,parda
2604700,438843,masculino,parda
2604700,1702360,masculino,parda
2604700,932276,masculino,parda
2604700,871800,masculino,parda
2604700,1218981,masculino,parda
2604700,1279063,feminino,parda
2604700,1273103,masculino,parda
2605202,786181,masculino,parda
2605202,1347698,masculino,parda
2605202,809643,masculino,parda
2605202,564690,feminino,parda
2605202,411952,masculino,parda
2605202,908588,masculino,parda
2605202,1567710,feminino,parda
2605202,389670,feminino,parda
2605202,567653,feminino,parda
2605905,1117074,feminino,parda
2605905,919540,masculino,parda
2605905,574257,masculino,parda
2605905,1373362,feminino,parda
2605905,545865,masculino,parda
2605905,1246474,masculino,parda
2605905,555730,masculino,parda
2605905,1134067,feminino,parda
2605905,818063,masculino,parda
2605905,851068,masculino,parda
2605905,574261,masculino,parda
2606002,558278,feminino,parda
2606002,1230204,masculino,parda
2606002,1303406,masculino,parda
2606002,1648307,masculino,parda
2606002,33340,feminino,parda
2606002,1028898,feminino,parda
2606002,709658,masculino,parda
2606002,1038891,masculino,parda
2606200,909277,masculino,parda
2606200,1395710,feminino,parda
2606200,877984,masculino,parda
2606200,1269740,masculino,parda
2606200,1026012,masculino,parda
2606200,943497,feminino,parda
2606200,968836,masculino,parda
2606200,1103174,masculino,parda
2606200,1193598,masculino,parda
2606408,1377217,masculino,parda
2606408,1099183,masculino,parda
2606507,799917,feminino,parda
2606507,1156389,masculino,parda
2606507,469123,masculino,parda
2606507,1089616,masculino,parda
2606507,57029,masculino,parda
2606507,1258432,feminino,parda
2606507,1383974,feminino,parda
2606507,907543,feminino,parda
2606507,1024832,masculino,parda
2606507,1227701,masculino,parda
2607208,801757,masculino,parda
2607208,585068,masculino,parda
2607208,715450,feminino,parda
2607208,1562865,masculino,parda
2607208,686428,masculino,parda
2607208,1264647,feminino,parda
2607208,1041103,masculino,parda
2607901,1763257,feminino,parda
2607901,72663,masculino,parda
2607901,494590,masculino,parda
2607901,1623339,masculino,parda
2607901,989041,masculino,parda
2607901,455595,masculino,parda
2607901,533629,feminino,parda
2607901,193055,feminino,parda
2607901,704561,feminino,parda
2607901,997135,masculino,parda
2607901,102083,feminino,parda
2607901,670765,feminino,parda
2607901,110670,feminino,parda
2607901,894388,masculino,parda
2607901,532055,masculino,parda
2607901,1720102,masculino,parda
2608503,805682,masculino,parda
2608503,484100,feminino,parda
2608503,58598,masculino,parda
2608503,715443,masculino,parda
2608503,630523,masculino,parda
2608503,1322155,feminino,parda
2608503,831743,masculino,parda
2608503,1373676,masculino,parda
2609105,445065,masculino,parda
2609105,262781,masculino,parda
2609105,1324883,masculino,parda
2609105,755825,masculino,parda
2609105,804890,masculino,parda
2609105,1793997,feminino,parda
2609105,942895,feminino,parda
2609105,1102075,masculino,parda
2609105,907673,feminino,parda
2609105,200961,masculino,parda
2609105,1328978,masculino,parda
2609402,1354861,feminino,parda
2609402,1229643,masculino,parda
